Id,Catégorie,Description,Energ_Kcal
28,Desserts,Chocolate Triple Thick™ Shake (32 fl oz cup),1150
138,Desserts,Vanilla Triple Thick™ Shake (32 fl oz cup),1140
131,Desserts,Strawberry Triple Thick™ Shake (32 fl oz cup),1120
106,Desserts,Raspberry Triple Thick™ Shake (32 fl oz cup) ,1120
21,Croquettes,Chicken McNuggets  (20 piece),1030
90,Desserts,Nestle Crunch  McFlurry™ (16 fl oz cup),920
83,Desserts,M&M  McFlurry™ (16 fl oz cup),910
15,Desserts,Butterfinger  McFlurry™ (16 fl oz cup),900
100,Desserts,Oreo  McFlurry™ (16 fl oz cup),820
48,Sandwich,Double Quarter Pounder  with Cheese ,760
27,Desserts,Chocolate Triple Thick™ Shake (21 fl oz cup),750
137,Desserts,Vanilla Triple Thick™ Shake (21 fl oz cup),750
130,Desserts,Strawberry Triple Thick™ Shake (21 fl oz cup),730
105,Desserts,Raspberry Triple Thick™ Shake (21 fl oz cup) ,730
8,Déjeuners,Big Déjeuners,710
120,Déjeuners,Spanish Omelete Bagel,710
126,Déjeuners,Steak Egg & Cheese Bagel,640
89,Desserts,Nestle Crunch  McFlurry™ (12 fl oz cup),630
82,Desserts,M&M  McFlurry™ (12 fl oz cup),630
14,Desserts,Butterfinger   McFlurry ™ (12 fl oz cup),620
132,Frites,Super Size  Frites,610
73,Déjeuners,Hotcakes (margarine 2 pats & syrup),600
9,Sandwich,Big Mac ,580
11,Sandwich,Big N' Tasty  with Cheese,580
26,Desserts,Chocolate Triple Thick™ Shake (16 fl oz cup),580
99,Desserts,Oreo  McFlurry™ (12 fl oz cup),570
136,Desserts,Vanilla Triple Thick™ Shake (16 fl oz cup),570
104,Desserts,Raspberry Triple Thick™ Shake (16 fl oz cup) ,560
129,Desserts,Strawberry Triple Thick™ Shake (16 fl oz cup),560
59,Déjeuners,Ham Egg & Cheese Bagel,550
111,Déjeuners,Sausage Egg & Cheese McGriddles™,550
80,Frites,Large Frites,540
102,Sandwich,Quarter Pounder  with Cheese ,530
10,Sandwich,Big N' Tasty ,530
57,Sandwich,Grilled Chicken Flatbread,520
20,Croquettes,Chicken McNuggets  (10 piece),510
38,Sandwich,Crispy Chicken,500
109,Déjeuners,Sausage Biscuit with Egg,490
47,Sandwich,Double Cheeseburger,480
2,Déjeuners,Bacon Egg & Cheese Biscuit,480
51,Sandwich,Filet-O-Fish ,470
66,Breuvages,Hi-C  Orange Drink (Super Size ) ,460
114,Déjeuners,Sausage McMuffin  with Egg,450
3,Déjeuners,Bacon Egg & Cheese McGriddles™,450
88,Frites,Medium Frites,450
69,Sandwich,Hot 'n Spicy McChicken ,450
135,Desserts,Vanilla Triple Thick™ Shake (12 fl oz cup),430
25,Desserts,Chocolate Triple Thick™ Shake (12 fl oz cup),430
84,Sandwich,McChicken ,430
103,Desserts,Raspberry Triple Thick™ Shake (12 fl oz cup) ,420
112,Déjeuners,Sausage McGriddles™,420
101,Sandwich,Quarter Pounder  ,420
128,Desserts,Strawberry Triple Thick™ Shake (12 fl oz cup),420
34,Breuvages,Coca-Cola Classic  (Super Size ) ,410
108,Déjeuners,Sausage Biscuit,410
125,Breuvages,Sprite  (Super Size ) ,410
19,Sandwich,Chicken McGrill ,400
53,Desserts,Fruit 'n Yogurt Parfait¯,380
41,Salades,Crispy Chicken California Cobb Salad,380
113,Déjeuners,Sausage McMuffin ,370
39,Salades,Crispy Chicken Bacon Ranch Salad,370
70,Desserts,Hot Caramel Sundae,360
63,Breuvages,Hi-C  Orange Drink (Large) ,350
71,Desserts,Hot Fudge Sundae,340
29,Déjeuners,Cinnamon Roll ,340
18,Sandwich,Cheeseburger,330
87,Frites,McValue  Frites,320
23,Croquettes,Chicken McNuggets  (6 piece),310
31,Breuvages,Coca-Cola Classic  (Large) ,310
122,Breuvages,Sprite  (Large) ,310
40,Salades,Crispy Chicken Caesar Salad,310
49,Déjeuners,Egg McMuffin ,300
94,Vinaigrettes à salades,Newman's Own  Ranch Dressing,290
127,Desserts,Strawberry Sundae,290
110,Déjeuners,Sausage Déjeuners Burrito ,290
60,Sandwich,Hamburger,280
85,Desserts,McDonaldland  Chocolate Chip Cookies,280
52,Desserts,Fruit 'n Yogurt Parfait (w/o granola)¯,280
56,Salades,Grilled Chicken California Cobb Salad,280
54,Salades,Grilled Chicken Bacon Ranch Salad,270
6,Desserts,Baked Apple Pie,260
5,Déjeuners,Bagel (plain),260
98,Breuvages,Orange Juice (21 fl oz cup),250
12,Déjeuners,Biscuit,240
64,Breuvages,Hi-C  Orange Drink (Medium) ,240
86,Desserts,McDonaldland  Cookies,230
117,Frites,Small Frites,210
123,Breuvages,Sprite  (Medium) ,210
55,Salades,Grilled Chicken Caesar Salad,210
32,Breuvages,Coca-Cola Classic  (Medium) ,210
22,Croquettes,Chicken McNuggets  (4 piece),210
92,Vinaigrettes à salades,Newman's Own  Creamy Caesar Dressing,190
97,Breuvages,Orange Juice (16 fl oz cup),180
24,Desserts,Chocolate Chip Cookie ,170
107,Déjeuners,Sausage,170
65,Breuvages,Hi-C  Orange Drink (Small) ,160
119,Desserts,Snack Size Fruit 'n Yogurt Parfait¯,160
115,Déjeuners,Scrambled Eggs (2),160
17,Salades,California Cobb Salad (without chicken),160
50,Déjeuners,English Muffin,150
33,Breuvages,Coca-Cola Classic  (Small) ,150
124,Breuvages,Sprite  (Small) ,150
134,Desserts,Vanilla Reduced Fat Ice Cream Cone,150
96,Breuvages,Orange Juice (12 fl oz cup),140
4,Salades,Bacon Ranch Salad (without chicken),140
118,Desserts,Snack Size Fruit 'n Yogurt Parfait (w/o granola)¯,130
61,Déjeuners,Hash Browns,130
91,Vinaigrettes à salades,Newman's Own  Cobb Dressing,120
62,Breuvages,Hi-C  Orange Drink (Child) ,120
30,Breuvages,Coca-Cola Classic  (Child) ,110
121,Breuvages,Sprite  (Child) ,110
1,Breuvages,Lowfat Milk,100
16,Salades,Caesar Salad (without chicken),90
93,Vinaigrettes à salades,Newman's Own  Light Balsamic Vinaigrette?,90
72,Croquettes,Hot Mustard Sauce,60
13,Salades,Butter Garlic Croutons,50
133,Croquettes,Sweet 'N Sour Sauce,50
68,Croquettes,Honey Mustard Sauce,50
79,Desserts,Kiddie Cone,45
81,Croquettes,Light Mayonnaise?,45
67,Croquettes,Honey,45
7,Croquettes,Barbeque Sauce,45
95,Desserts,Nuts (for Sundaes),40
58,Breuvages,Half & Half Creamer,15
116,Salades,Side Salad,15
35,Breuvages,Coffee (Large),10
36,Breuvages,Coffee (Medium),5
37,Breuvages,Coffee (Small),0
46,Breuvages,Diet Coke  (Super Size ) ,0
43,Breuvages,Diet Coke  (Large) ,0
74,Breuvages,Iced Tea (Child),0
42,Breuvages,Diet Coke  (Child) ,0
75,Breuvages,Iced Tea (Large),0
77,Breuvages,Iced Tea (Small),0
44,Breuvages,Diet Coke  (Medium) ,0
76,Breuvages,Iced Tea (Medium),0
45,Breuvages,Diet Coke  (Small) ,0
78,Breuvages,Iced Tea (Super Size ),0
