Id,Catégorie,Description,Protéine
21,Croquettes,Chicken McNuggets  (20 piece),49
48,Sandwich,Double Quarter Pounder  with Cheese ,46
126,Déjeuners,Steak Egg & Cheese Bagel,31
28,Desserts,Chocolate Triple Thick™ Shake (32 fl oz cup),30
56,Salades,Grilled Chicken California Cobb Salad,30
138,Desserts,Vanilla Triple Thick™ Shake (32 fl oz cup),28
106,Desserts,Raspberry Triple Thick™ Shake (32 fl oz cup) ,28
54,Salades,Grilled Chicken Bacon Ranch Salad,28
131,Desserts,Strawberry Triple Thick™ Shake (32 fl oz cup),28
102,Sandwich,Quarter Pounder  with Cheese ,28
57,Sandwich,Grilled Chicken Flatbread,28
120,Déjeuners,Spanish Omelete Bagel,27
41,Salades,Crispy Chicken California Cobb Salad,27
39,Salades,Crispy Chicken Bacon Ranch Salad,26
55,Salades,Grilled Chicken Caesar Salad,26
11,Sandwich,Big N' Tasty  with Cheese,26
59,Déjeuners,Ham Egg & Cheese Bagel,26
19,Sandwich,Chicken McGrill ,25
20,Croquettes,Chicken McNuggets  (10 piece),25
47,Sandwich,Double Cheeseburger,25
9,Sandwich,Big Mac ,24
10,Sandwich,Big N' Tasty ,24
8,Déjeuners,Big Déjeuners,24
15,Desserts,Butterfinger  McFlurry™ (16 fl oz cup),23
40,Salades,Crispy Chicken Caesar Salad,23
90,Desserts,Nestle Crunch  McFlurry™ (16 fl oz cup),23
83,Desserts,M&M  McFlurry™ (16 fl oz cup),23
101,Sandwich,Quarter Pounder  ,23
38,Sandwich,Crispy Chicken,22
100,Desserts,Oreo  McFlurry™ (16 fl oz cup),22
2,Déjeuners,Bacon Egg & Cheese Biscuit,21
114,Déjeuners,Sausage McMuffin  with Egg,20
111,Déjeuners,Sausage Egg & Cheese McGriddles™,20
130,Desserts,Strawberry Triple Thick™ Shake (21 fl oz cup),19
27,Desserts,Chocolate Triple Thick™ Shake (21 fl oz cup),19
105,Desserts,Raspberry Triple Thick™ Shake (21 fl oz cup) ,19
3,Déjeuners,Bacon Egg & Cheese McGriddles™,19
137,Desserts,Vanilla Triple Thick™ Shake (21 fl oz cup),18
49,Déjeuners,Egg McMuffin ,18
82,Desserts,M&M  McFlurry™ (12 fl oz cup),16
89,Desserts,Nestle Crunch  McFlurry™ (12 fl oz cup),16
109,Déjeuners,Sausage Biscuit with Egg,16
14,Desserts,Butterfinger   McFlurry ™ (12 fl oz cup),16
23,Croquettes,Chicken McNuggets  (6 piece),15
99,Desserts,Oreo  McFlurry™ (12 fl oz cup),15
26,Desserts,Chocolate Triple Thick™ Shake (16 fl oz cup),15
18,Sandwich,Cheeseburger,15
69,Sandwich,Hot 'n Spicy McChicken ,15
51,Sandwich,Filet-O-Fish ,15
129,Desserts,Strawberry Triple Thick™ Shake (16 fl oz cup),14
104,Desserts,Raspberry Triple Thick™ Shake (16 fl oz cup) ,14
113,Déjeuners,Sausage McMuffin ,14
84,Sandwich,McChicken ,14
136,Desserts,Vanilla Triple Thick™ Shake (16 fl oz cup),14
115,Déjeuners,Scrambled Eggs (2),13
110,Déjeuners,Sausage Déjeuners Burrito ,13
60,Sandwich,Hamburger,12
103,Desserts,Raspberry Triple Thick™ Shake (12 fl oz cup) ,11
17,Salades,California Cobb Salad (without chicken),11
25,Desserts,Chocolate Triple Thick™ Shake (12 fl oz cup),11
128,Desserts,Strawberry Triple Thick™ Shake (12 fl oz cup),11
112,Déjeuners,Sausage McGriddles™,11
135,Desserts,Vanilla Triple Thick™ Shake (12 fl oz cup),11
22,Croquettes,Chicken McNuggets  (4 piece),10
53,Desserts,Fruit 'n Yogurt Parfait¯,10
108,Déjeuners,Sausage Biscuit,10
73,Déjeuners,Hotcakes (margarine 2 pats & syrup),9
5,Déjeuners,Bagel (plain),9
4,Salades,Bacon Ranch Salad (without chicken),9
132,Frites,Super Size  Frites,9
71,Desserts,Hot Fudge Sundae,8
1,Breuvages,Lowfat Milk,8
52,Desserts,Fruit 'n Yogurt Parfait (w/o granola)¯,8
80,Frites,Large Frites,8
70,Desserts,Hot Caramel Sundae,7
16,Salades,Caesar Salad (without chicken),7
127,Desserts,Strawberry Sundae,7
88,Frites,Medium Frites,6
107,Déjeuners,Sausage,6
29,Déjeuners,Cinnamon Roll ,5
87,Frites,McValue  Frites,5
50,Déjeuners,English Muffin,5
134,Desserts,Vanilla Reduced Fat Ice Cream Cone,4
98,Breuvages,Orange Juice (21 fl oz cup),4
118,Desserts,Snack Size Fruit 'n Yogurt Parfait (w/o granola)¯,4
119,Desserts,Snack Size Fruit 'n Yogurt Parfait¯,4
12,Déjeuners,Biscuit,4
97,Breuvages,Orange Juice (16 fl oz cup),3
117,Frites,Small Frites,3
86,Desserts,McDonaldland  Cookies,3
85,Desserts,McDonaldland  Chocolate Chip Cookies,3
6,Desserts,Baked Apple Pie,3
95,Desserts,Nuts (for Sundaes),2
92,Vinaigrettes à salades,Newman's Own  Creamy Caesar Dressing,2
24,Desserts,Chocolate Chip Cookie ,2
96,Breuvages,Orange Juice (12 fl oz cup),2
91,Vinaigrettes à salades,Newman's Own  Cobb Dressing,1
79,Desserts,Kiddie Cone,1
116,Salades,Side Salad,1
94,Vinaigrettes à salades,Newman's Own  Ranch Dressing,1
72,Croquettes,Hot Mustard Sauce,1
61,Déjeuners,Hash Browns,1
13,Salades,Butter Garlic Croutons,1
30,Breuvages,Coca-Cola Classic  (Child) ,0
75,Breuvages,Iced Tea (Large),0
62,Breuvages,Hi-C  Orange Drink (Child) ,0
42,Breuvages,Diet Coke  (Child) ,0
33,Breuvages,Coca-Cola Classic  (Small) ,0
76,Breuvages,Iced Tea (Medium),0
125,Breuvages,Sprite  (Super Size ) ,0
35,Breuvages,Coffee (Large),0
77,Breuvages,Iced Tea (Small),0
78,Breuvages,Iced Tea (Super Size ),0
36,Breuvages,Coffee (Medium),0
74,Breuvages,Iced Tea (Child),0
37,Breuvages,Coffee (Small),0
58,Breuvages,Half & Half Creamer,0
32,Breuvages,Coca-Cola Classic  (Medium) ,0
121,Breuvages,Sprite  (Child) ,0
65,Breuvages,Hi-C  Orange Drink (Small) ,0
66,Breuvages,Hi-C  Orange Drink (Super Size ) ,0
133,Croquettes,Sweet 'N Sour Sauce,0
93,Vinaigrettes à salades,Newman's Own  Light Balsamic Vinaigrette?,0
122,Breuvages,Sprite  (Large) ,0
81,Croquettes,Light Mayonnaise?,0
68,Croquettes,Honey Mustard Sauce,0
123,Breuvages,Sprite  (Medium) ,0
46,Breuvages,Diet Coke  (Super Size ) ,0
43,Breuvages,Diet Coke  (Large) ,0
45,Breuvages,Diet Coke  (Small) ,0
63,Breuvages,Hi-C  Orange Drink (Large) ,0
7,Croquettes,Barbeque Sauce,0
124,Breuvages,Sprite  (Small) ,0
34,Breuvages,Coca-Cola Classic  (Super Size ) ,0
44,Breuvages,Diet Coke  (Medium) ,0
64,Breuvages,Hi-C  Orange Drink (Medium) ,0
31,Breuvages,Coca-Cola Classic  (Large) ,0
67,Croquettes,Honey,0
