Id,Catégorie,Description,Sodium
21,Croquettes,Chicken McNuggets  (20 piece),2280
57,Sandwich,Grilled Chicken Flatbread,1590
126,Déjeuners,Steak Egg & Cheese Bagel,1540
120,Déjeuners,Spanish Omelete Bagel,1520
59,Déjeuners,Ham Egg & Cheese Bagel,1500
48,Sandwich,Double Quarter Pounder  with Cheese ,1450
8,Déjeuners,Big Déjeuners,1430
2,Déjeuners,Bacon Egg & Cheese Biscuit,1360
111,Déjeuners,Sausage Egg & Cheese McGriddles™,1290
3,Déjeuners,Bacon Egg & Cheese McGriddles™,1270
102,Sandwich,Quarter Pounder  with Cheese ,1250
47,Sandwich,Double Cheeseburger,1220
41,Salades,Crispy Chicken California Cobb Salad,1170
20,Croquettes,Chicken McNuggets  (10 piece),1140
38,Sandwich,Crispy Chicken,1100
9,Sandwich,Big Mac ,1050
39,Salades,Crispy Chicken Bacon Ranch Salad,1040
11,Sandwich,Big N' Tasty  with Cheese,1030
109,Déjeuners,Sausage Biscuit with Egg,1010
112,Déjeuners,Sausage McGriddles™,970
56,Salades,Grilled Chicken California Cobb Salad,960
93,Vinaigrettes à salades,Newman's Own  Light Balsamic Vinaigrette?,950
108,Déjeuners,Sausage Biscuit,930
114,Déjeuners,Sausage McMuffin  with Egg,930
19,Sandwich,Chicken McGrill ,890
40,Salades,Crispy Chicken Caesar Salad,890
49,Déjeuners,Egg McMuffin ,840
84,Sandwich,McChicken ,840
54,Salades,Grilled Chicken Bacon Ranch Salad,830
69,Sandwich,Hot 'n Spicy McChicken ,830
138,Desserts,Vanilla Triple Thick™ Shake (32 fl oz cup),810
18,Sandwich,Cheeseburger,800
10,Sandwich,Big N' Tasty ,790
113,Déjeuners,Sausage McMuffin ,790
101,Sandwich,Quarter Pounder  ,780
73,Déjeuners,Hotcakes (margarine 2 pats & syrup),770
51,Sandwich,Filet-O-Fish ,730
23,Croquettes,Chicken McNuggets  (6 piece),680
55,Salades,Grilled Chicken Caesar Salad,680
110,Déjeuners,Sausage Déjeuners Burrito ,680
12,Déjeuners,Biscuit,640
60,Sandwich,Hamburger,560
28,Desserts,Chocolate Triple Thick™ Shake (32 fl oz cup),550
94,Vinaigrettes à salades,Newman's Own  Ranch Dressing,530
137,Desserts,Vanilla Triple Thick™ Shake (21 fl oz cup),530
5,Déjeuners,Bagel (plain),520
92,Vinaigrettes à salades,Newman's Own  Creamy Caesar Dressing,500
22,Croquettes,Chicken McNuggets  (4 piece),460
17,Salades,California Cobb Salad (without chicken),450
91,Vinaigrettes à salades,Newman's Own  Cobb Dressing,440
100,Desserts,Oreo  McFlurry™ (16 fl oz cup),420
136,Desserts,Vanilla Triple Thick™ Shake (16 fl oz cup),400
106,Desserts,Raspberry Triple Thick™ Shake (32 fl oz cup) ,390
132,Frites,Super Size  Frites,390
131,Desserts,Strawberry Triple Thick™ Shake (32 fl oz cup),380
15,Desserts,Butterfinger  McFlurry™ (16 fl oz cup),370
27,Desserts,Chocolate Triple Thick™ Shake (21 fl oz cup),360
80,Frites,Large Frites,350
90,Desserts,Nestle Crunch  McFlurry™ (16 fl oz cup),340
61,Déjeuners,Hash Browns,330
4,Salades,Bacon Ranch Salad (without chicken),310
83,Desserts,M&M  McFlurry™ (16 fl oz cup),300
135,Desserts,Vanilla Triple Thick™ Shake (12 fl oz cup),300
88,Frites,Medium Frites,290
107,Déjeuners,Sausage,290
26,Desserts,Chocolate Triple Thick™ Shake (16 fl oz cup),280
99,Desserts,Oreo  McFlurry™ (12 fl oz cup),280
50,Déjeuners,English Muffin,270
105,Desserts,Raspberry Triple Thick™ Shake (21 fl oz cup) ,260
14,Desserts,Butterfinger   McFlurry ™ (12 fl oz cup),260
86,Desserts,McDonaldland  Cookies,250
130,Desserts,Strawberry Triple Thick™ Shake (21 fl oz cup),250
7,Croquettes,Barbeque Sauce,250
29,Déjeuners,Cinnamon Roll ,250
72,Croquettes,Hot Mustard Sauce,240
53,Desserts,Fruit 'n Yogurt Parfait¯,240
89,Desserts,Nestle Crunch  McFlurry™ (12 fl oz cup),230
25,Desserts,Chocolate Triple Thick™ Shake (12 fl oz cup),210
82,Desserts,M&M  McFlurry™ (12 fl oz cup),210
87,Frites,McValue  Frites,210
6,Desserts,Baked Apple Pie,200
104,Desserts,Raspberry Triple Thick™ Shake (16 fl oz cup) ,190
129,Desserts,Strawberry Triple Thick™ Shake (16 fl oz cup),190
70,Desserts,Hot Caramel Sundae,180
115,Déjeuners,Scrambled Eggs (2),170
85,Desserts,McDonaldland  Chocolate Chip Cookies,170
16,Salades,Caesar Salad (without chicken),170
71,Desserts,Hot Fudge Sundae,170
24,Desserts,Chocolate Chip Cookie ,150
103,Desserts,Raspberry Triple Thick™ Shake (12 fl oz cup) ,150
125,Breuvages,Sprite  (Super Size ) ,150
13,Salades,Butter Garlic Croutons,140
128,Desserts,Strawberry Triple Thick™ Shake (12 fl oz cup),140
133,Croquettes,Sweet 'N Sour Sauce,140
117,Frites,Small Frites,135
122,Breuvages,Sprite  (Large) ,115
1,Breuvages,Lowfat Milk,115
52,Desserts,Fruit 'n Yogurt Parfait (w/o granola)¯,115
81,Croquettes,Light Mayonnaise?,100
68,Croquettes,Honey Mustard Sauce,95
127,Desserts,Strawberry Sundae,95
119,Desserts,Snack Size Fruit 'n Yogurt Parfait¯,85
123,Breuvages,Sprite  (Medium) ,80
134,Desserts,Vanilla Reduced Fat Ice Cream Cone,75
46,Breuvages,Diet Coke  (Super Size ) ,75
66,Breuvages,Hi-C  Orange Drink (Super Size ) ,75
43,Breuvages,Diet Coke  (Large) ,60
63,Breuvages,Hi-C  Orange Drink (Large) ,60
95,Desserts,Nuts (for Sundaes),55
118,Desserts,Snack Size Fruit 'n Yogurt Parfait (w/o granola)¯,55
124,Breuvages,Sprite  (Small) ,55
34,Breuvages,Coca-Cola Classic  (Super Size ) ,40
44,Breuvages,Diet Coke  (Medium) ,40
64,Breuvages,Hi-C  Orange Drink (Medium) ,40
121,Breuvages,Sprite  (Child) ,40
31,Breuvages,Coca-Cola Classic  (Large) ,30
45,Breuvages,Diet Coke  (Small) ,30
65,Breuvages,Hi-C  Orange Drink (Small) ,30
78,Breuvages,Iced Tea (Super Size ),25
79,Desserts,Kiddie Cone,20
75,Breuvages,Iced Tea (Large),20
62,Breuvages,Hi-C  Orange Drink (Child) ,20
42,Breuvages,Diet Coke  (Child) ,20
32,Breuvages,Coca-Cola Classic  (Medium) ,20
33,Breuvages,Coca-Cola Classic  (Small) ,15
76,Breuvages,Iced Tea (Medium),15
30,Breuvages,Coca-Cola Classic  (Child) ,10
35,Breuvages,Coffee (Large),10
77,Breuvages,Iced Tea (Small),10
98,Breuvages,Orange Juice (21 fl oz cup),10
116,Salades,Side Salad,10
36,Breuvages,Coffee (Medium),5
74,Breuvages,Iced Tea (Child),5
96,Breuvages,Orange Juice (12 fl oz cup),5
97,Breuvages,Orange Juice (16 fl oz cup),5
37,Breuvages,Coffee (Small),0
58,Breuvages,Half & Half Creamer,0
67,Croquettes,Honey,0
