Id,Catégorie,Description,gras
123,Breuvages,Sprite  (Medium) ,9999
21,Croquettes,Chicken McNuggets  (20 piece),65
48,Sandwich,Double Quarter Pounder  with Cheese ,48
8,Déjeuners,Big Déjeuners,48
120,Déjeuners,Spanish Omelete Bagel,40
11,Sandwich,Big N' Tasty  with Cheese,37
90,Desserts,Nestle Crunch  McFlurry™ (16 fl oz cup),35
109,Déjeuners,Sausage Biscuit with Egg,33
9,Sandwich,Big Mac ,33
20,Croquettes,Chicken McNuggets  (10 piece),33
83,Desserts,M&M  McFlurry™ (16 fl oz cup),33
111,Déjeuners,Sausage Egg & Cheese McGriddles™,33
28,Desserts,Chocolate Triple Thick™ Shake (32 fl oz cup),33
138,Desserts,Vanilla Triple Thick™ Shake (32 fl oz cup),32
106,Desserts,Raspberry Triple Thick™ Shake (32 fl oz cup) ,32
10,Sandwich,Big N' Tasty ,32
131,Desserts,Strawberry Triple Thick™ Shake (32 fl oz cup),32
15,Desserts,Butterfinger  McFlurry™ (16 fl oz cup),31
2,Déjeuners,Bacon Egg & Cheese Biscuit,31
126,Déjeuners,Steak Egg & Cheese Bagel,31
94,Vinaigrettes à salades,Newman's Own  Ranch Dressing,30
102,Sandwich,Quarter Pounder  with Cheese ,30
100,Desserts,Oreo  McFlurry™ (16 fl oz cup),29
132,Frites,Super Size  Frites,29
108,Déjeuners,Sausage Biscuit,28
114,Déjeuners,Sausage McMuffin  with Egg,28
47,Sandwich,Double Cheeseburger,27
51,Sandwich,Filet-O-Fish ,26
80,Frites,Large Frites,26
38,Sandwich,Crispy Chicken,26
69,Sandwich,Hot 'n Spicy McChicken ,26
89,Desserts,Nestle Crunch  McFlurry™ (12 fl oz cup),24
82,Desserts,M&M  McFlurry™ (12 fl oz cup),23
112,Déjeuners,Sausage McGriddles™,23
113,Déjeuners,Sausage McMuffin ,23
41,Salades,Crispy Chicken California Cobb Salad,23
84,Sandwich,McChicken ,23
3,Déjeuners,Bacon Egg & Cheese McGriddles™,23
59,Déjeuners,Ham Egg & Cheese Bagel,23
88,Frites,Medium Frites,22
27,Desserts,Chocolate Triple Thick™ Shake (21 fl oz cup),22
14,Desserts,Butterfinger   McFlurry ™ (12 fl oz cup),22
57,Sandwich,Grilled Chicken Flatbread,22
130,Desserts,Strawberry Triple Thick™ Shake (21 fl oz cup),21
105,Desserts,Raspberry Triple Thick™ Shake (21 fl oz cup) ,21
39,Salades,Crispy Chicken Bacon Ranch Salad,21
137,Desserts,Vanilla Triple Thick™ Shake (21 fl oz cup),21
101,Sandwich,Quarter Pounder  ,21
23,Croquettes,Chicken McNuggets  (6 piece),20
99,Desserts,Oreo  McFlurry™ (12 fl oz cup),20
92,Vinaigrettes à salades,Newman's Own  Creamy Caesar Dressing,18
19,Sandwich,Chicken McGrill ,17
26,Desserts,Chocolate Triple Thick™ Shake (16 fl oz cup),17
73,Déjeuners,Hotcakes (margarine 2 pats & syrup),17
104,Desserts,Raspberry Triple Thick™ Shake (16 fl oz cup) ,16
136,Desserts,Vanilla Triple Thick™ Shake (16 fl oz cup),16
87,Frites,McValue  Frites,16
107,Déjeuners,Sausage,16
40,Salades,Crispy Chicken Caesar Salad,16
129,Desserts,Strawberry Triple Thick™ Shake (16 fl oz cup),16
110,Déjeuners,Sausage Déjeuners Burrito ,16
29,Déjeuners,Cinnamon Roll ,15
18,Sandwich,Cheeseburger,14
56,Salades,Grilled Chicken California Cobb Salad,14
85,Desserts,McDonaldland  Chocolate Chip Cookies,14
22,Croquettes,Chicken McNuggets  (4 piece),13
6,Desserts,Baked Apple Pie,13
54,Salades,Grilled Chicken Bacon Ranch Salad,13
128,Desserts,Strawberry Triple Thick™ Shake (12 fl oz cup),12
103,Desserts,Raspberry Triple Thick™ Shake (12 fl oz cup) ,12
49,Déjeuners,Egg McMuffin ,12
71,Desserts,Hot Fudge Sundae,12
25,Desserts,Chocolate Triple Thick™ Shake (12 fl oz cup),12
135,Desserts,Vanilla Triple Thick™ Shake (12 fl oz cup),12
115,Déjeuners,Scrambled Eggs (2),11
17,Salades,California Cobb Salad (without chicken),11
12,Déjeuners,Biscuit,11
117,Frites,Small Frites,10
4,Salades,Bacon Ranch Salad (without chicken),10
70,Desserts,Hot Caramel Sundae,10
60,Sandwich,Hamburger,10
24,Desserts,Chocolate Chip Cookie ,9
91,Vinaigrettes à salades,Newman's Own  Cobb Dressing,9
86,Desserts,McDonaldland  Cookies,8
93,Vinaigrettes à salades,Newman's Own  Light Balsamic Vinaigrette?,8
61,Déjeuners,Hash Browns,8
127,Desserts,Strawberry Sundae,7
55,Salades,Grilled Chicken Caesar Salad,7
53,Desserts,Fruit 'n Yogurt Parfait¯,5
16,Salades,Caesar Salad (without chicken),4
134,Desserts,Vanilla Reduced Fat Ice Cream Cone,4
52,Desserts,Fruit 'n Yogurt Parfait (w/o granola)¯,4
81,Croquettes,Light Mayonnaise?,4
68,Croquettes,Honey Mustard Sauce,4
72,Croquettes,Hot Mustard Sauce,3
95,Desserts,Nuts (for Sundaes),3
118,Desserts,Snack Size Fruit 'n Yogurt Parfait (w/o granola)¯,2
1,Breuvages,Lowfat Milk,2
50,Déjeuners,English Muffin,2
119,Desserts,Snack Size Fruit 'n Yogurt Parfait¯,2
79,Desserts,Kiddie Cone,1
58,Breuvages,Half & Half Creamer,1
5,Déjeuners,Bagel (plain),1
13,Salades,Butter Garlic Croutons,1
66,Breuvages,Hi-C  Orange Drink (Super Size ) ,0
98,Breuvages,Orange Juice (21 fl oz cup),0
125,Breuvages,Sprite  (Super Size ) ,0
33,Breuvages,Coca-Cola Classic  (Small) ,0
76,Breuvages,Iced Tea (Medium),0
30,Breuvages,Coca-Cola Classic  (Child) ,0
35,Breuvages,Coffee (Large),0
77,Breuvages,Iced Tea (Small),0
116,Salades,Side Salad,0
46,Breuvages,Diet Coke  (Super Size ) ,0
36,Breuvages,Coffee (Medium),0
74,Breuvages,Iced Tea (Child),0
96,Breuvages,Orange Juice (12 fl oz cup),0
97,Breuvages,Orange Juice (16 fl oz cup),0
37,Breuvages,Coffee (Small),0
7,Croquettes,Barbeque Sauce,0
75,Breuvages,Iced Tea (Large),0
62,Breuvages,Hi-C  Orange Drink (Child) ,0
42,Breuvages,Diet Coke  (Child) ,0
32,Breuvages,Coca-Cola Classic  (Medium) ,0
78,Breuvages,Iced Tea (Super Size ),0
65,Breuvages,Hi-C  Orange Drink (Small) ,0
45,Breuvages,Diet Coke  (Small) ,0
31,Breuvages,Coca-Cola Classic  (Large) ,0
121,Breuvages,Sprite  (Child) ,0
64,Breuvages,Hi-C  Orange Drink (Medium) ,0
44,Breuvages,Diet Coke  (Medium) ,0
34,Breuvages,Coca-Cola Classic  (Super Size ) ,0
124,Breuvages,Sprite  (Small) ,0
133,Croquettes,Sweet 'N Sour Sauce,0
122,Breuvages,Sprite  (Large) ,0
63,Breuvages,Hi-C  Orange Drink (Large) ,0
43,Breuvages,Diet Coke  (Large) ,0
67,Croquettes,Honey,0
